date,close,return,naive_pred,lstm_pred,direction_true,direction_lstm,signal,strategy_return,bh_return,cum_strategy,cum_bh
,V,,,,,,,,,,
2015-06-08,62.88404846191406,-0.010091678661696912,0.0023450426965101467,-0.0008885630344270812,-1.0,-1.0,0.0,0.0,-0.010091678661696912,0.9341942972835359,1.0251557710812338
2015-06-09,63.134910583496094,0.003989280711371057,-0.010091678661696912,-0.004158996640751455,1.0,-1.0,0.0,0.0,0.003989280711371057,0.9341942972835359,1.0292454052249589
2015-06-10,64.69587707519531,0.024724300347821693,0.003989280711371057,-0.0031587044699494136,1.0,-1.0,0.0,0.0,0.024724300347821693,0.9341942972835359,1.0546927777553563
2015-06-11,64.70513916015625,0.00014316344997022945,0.024724300347821693,0.0020470272229217157,1.0,1.0,1.0,-0.004451109251798591,0.00014316344997022945,0.9300360964039196,1.0548437712120784
2015-06-12,64.41712951660156,-0.004451109251798591,0.00014316344997022945,0.004222021708795242,-1.0,1.0,1.0,-0.010962502496067339,-0.004451109251798591,0.9198405733756589,1.0501485463428342
2015-06-15,63.71095657348633,-0.010962502496067339,-0.004451109251798591,0.002862791319133495,-1.0,1.0,1.0,0.006417229167895444,-0.010962502496067339,0.9257434011329388,1.0386362902823094
2015-06-16,64.11980438232422,0.006417229167895444,-0.010962502496067339,0.00268862655225941,1.0,1.0,1.0,-0.0037680661746096744,0.006417229167895444,0.9222551387367617,1.0453014573791437
2015-06-17,63.878196716308594,-0.0037680661746096744,0.006417229167895444,0.0031742162435642873,-1.0,1.0,1.0,0.01090957777609769,-0.0037680661746096744,0.9323165529022162,1.0413626923153232
2015-06-18,64.57508087158203,0.01090957777609769,-0.0037680661746096744,-0.002524257060921986,1.0,-1.0,0.0,-0.0,0.01090957777609769,0.9323165529022162,1.0527235196002638
2015-06-19,63.82248306274414,-0.01165461659017586,0.01090957777609769,-0.00037097419569649405,-1.0,-1.0,0.0,0.0,-0.01165461659017586,0.9323165529022162,1.0404544306038623
2015-06-22,64.19412231445312,0.00582301461608159,-0.01165461659017586,-0.0018116756633719477,1.0,-1.0,0.0,0.0,0.00582301461608159,0.9323165529022162,1.0465130119606354
2015-06-23,64.50074768066406,0.004776533351588563,0.00582301461608159,0.0015454277590578381,1.0,1.0,1.0,-0.008066897067767864,0.004776533351588563,0.9247956512353779,1.0515117162651368
2015-06-24,63.98042678833008,-0.008066897067767864,0.004776533351588563,0.0012172885957964618,-1.0,1.0,1.0,-0.0034856727711551905,-0.008066897067767864,0.921572116214984,1.043029279484474
2015-06-25,63.75741195678711,-0.0034856727711551905,-0.008066897067767864,0.00035752241716482394,-1.0,1.0,1.0,0.0018944426352083266,-0.0034856727711551905,0.9233179817233609,1.0393936207254573
2015-06-26,63.878196716308594,0.0018944426352083266,-0.0034856727711551905,-0.002521527692285752,1.0,-1.0,0.0,-0.0,0.0018944426352083266,0.9233179817233609,1.0413626923153232
2015-06-29,61.9920539855957,-0.029527175588401455,0.0018944426352083266,0.000188284152791085,-1.0,1.0,1.0,0.006444834099396113,-0.029527175588401455,0.9292686129365572,1.010614193248118
2015-06-30,62.39158248901367,0.006444834099396113,-0.029527175588401455,-0.006881753888105524,1.0,-1.0,0.0,0.0,0.006444834099396113,0.9292686129365572,1.0171274340620973
2015-07-01,63.041996002197266,0.010424699730899212,0.006444834099396113,-0.006548093738544014,1.0,-1.0,0.0,0.0,0.010424699730899212,0.9292686129365572,1.0277306821502545
2015-07-02,63.404354095458984,0.005747884207998322,0.010424699730899212,-0.002849774378810599,1.0,-1.0,0.0,-0.0,0.005747884207998322,0.9292686129365572,1.0336379591082614
2015-07-06,63.29286193847656,-0.0017584306089540869,0.005747884207998322,-0.0010030629829798966,-1.0,-1.0,0.0,-0.0,-0.0017584306089540869,0.9292686129365572,1.0318203784823885
2015-07-07,62.9676628112793,-0.005138006360233427,-0.0017584306089540869,-0.0017336376318123792,-1.0,-1.0,0.0,-0.0,-0.005138006360233427,0.9292686129365572,1.0265188788151276
2015-07-08,62.001365661621094,-0.015345926885587224,-0.005138006360233427,0.0031441962138212265,-1.0,1.0,1.0,0.004795338001189364,-0.015345926885587224,0.9337247700294844,1.0107659951541557
2015-07-09,62.298683166503906,0.004795338001189364,-0.015345926885587224,-0.0012139559831754409,1.0,-1.0,0.0,0.0,0.004795338001189364,0.9337247700294844,1.0156129597410284
2015-07-10,63.57158660888672,0.020432268832725642,0.004795338001189364,-0.0023398283291174104,1.0,-1.0,0.0,0.0,0.020432268832725642,0.9337247700294844,1.0363642367644572
2015-07-13,64.59364318847656,0.01607725454262887,0.020432268832725642,0.0005970485958280535,1.0,1.0,1.0,0.008343197796281787,0.01607725454262887,0.9415150204731281,1.0530261283977966
2015-07-14,65.13256072998047,0.008343197796281787,0.01607725454262887,0.004164185626144646,1.0,1.0,1.0,-0.0011417286171870877,0.008343197796281787,0.9404400658307425,1.0618117336716724
2015-07-15,65.05819702148438,-0.0011417286171870877,0.008343197796281787,0.006860426457447688,-1.0,1.0,1.0,0.007855351301958358,-0.0011417286171870877,0.9478275529262798,1.0605994328292745
2015-07-16,65.56925201416016,0.007855351301958358,-0.0011417286171870877,0.009701266111127715,1.0,1.0,1.0,0.004392915158931698,0.007855351301958358,0.9519912789515829,1.0689308139648062
2015-07-17,65.85729217529297,0.004392915158931698,0.007855351301958358,0.010313268771281515,1.0,1.0,1.0,0.025676875948428046,0.004392915158931698,0.9764354409252081,1.0736265363413213
2015-07-20,67.54830169677734,0.025676875948428046,0.004392915158931698,0.0071053980365227256,1.0,1.0,1.0,-0.009353726033583087,0.025676875948428046,0.9673021313213128,1.101193911729898
2015-07-21,66.91647338867188,-0.009353726033583087,0.025676875948428046,0.00902532231768256,-1.0,1.0,1.0,-0.0006941153882462636,-0.009353726033583087,0.9666307120268793,1.0908936455697267
2015-07-22,66.87002563476562,-0.0006941153882462636,-0.009353726033583087,0.005485937551709586,-1.0,1.0,1.0,-0.00305677672979654,-0.0006941153882462636,0.9636759377600489,1.0901364395033966
2015-07-23,66.66561889648438,-0.00305677672979654,-0.0006941153882462636,0.00557546019749775,-1.0,1.0,1.0,0.042508717101724436,-0.00305677672979654,1.0046405655760298,1.0868041358028193
2015-07-24,69.4994888305664,0.042508717101724436,-0.00305677672979654,0.003393034591146771,1.0,1.0,1.0,-0.012566857863993142,0.042508717101724436,0.9920153903840341,1.1330027853566456
2015-07-27,68.6260986328125,-0.012566857863993142,0.042508717101724436,0.011016194979705319,-1.0,1.0,1.0,0.011914672216441158,-0.012566857863993142,1.0038349285941248,1.1187645003935602
2015-07-28,69.44375610351562,0.011914672216441158,-0.012566857863993142,0.003367448217221081,1.0,1.0,1.0,0.016991953094066314,0.011914672216441158,1.0208920446149816,1.1320942127031401
2015-07-29,70.62374114990234,0.016991953094066314,0.011914672216441158,0.00762112786722593,1.0,1.0,1.0,0.004867991567275798,0.016991953094066314,1.0258617384792663,1.1513307044634558
2015-07-30,70.96753692626953,0.004867991567275798,0.016991953094066314,0.011158341563688445,1.0,1.0,1.0,-0.013615990871500228,0.004867991567275798,1.0118936144127113,1.1569353726239295
2015-07-31,70.0012435913086,-0.013615990871500228,0.004867991567275798,0.012743295223102913,-1.0,1.0,1.0,0.005707230673806407,-0.013615990871500228,1.0176687246875165,1.1411825511513665
2015-08-03,70.4007568359375,0.005707230673806407,-0.013615990871500228,0.0015183536284579802,1.0,1.0,1.0,-0.006598705097594526,0.005707230673806407,1.0109534288862585,1.1476955432117102
2015-08-04,69.93620300292969,-0.006598705097594526,0.005707230673806407,0.00517317133601789,-1.0,1.0,1.0,-0.003852867963726858,-0.006598705097594526,1.0070583588072828,1.1401222387802326
2015-08-05,69.666748046875,-0.003852867963726858,-0.006598705097594526,0.001470495873210753,-1.0,1.0,1.0,-0.018671369872614862,-0.003852867963726858,0.9882551997066835,1.1357294983317037
2015-08-06,68.36597442626953,-0.018671369872614862,-0.003852867963726858,-0.0026984683383478813,-1.0,-1.0,0.0,0.0,-0.018671369872614862,0.9882551997066835,1.114523872793113
